GAME_ID,Date,team,team_opp,team_proj_total,team_opp_proj_total,home_spread,away_spread,team_total_odds,team_opp_total_odds,game_proj_total,HomeML_american,AwayML_american,HomeML_decimal,AwayML_decimal,oddsmakers_margin
20700001,2007-10-30 0:00,SAS,POR,101.5,88.5,-13,13,1.92,2.03,189.5,-1400,900,1.071428571,10,-0.714285714
20700003,2007-10-30 0:00,GSW,UTA,106.5,105.5,-1,1,1.90,1.99,212,-120,100,1.833333333,2,-1.666666667
20700002,2007-10-30 0:00,LAL,HOU,97,102,5,-5,1.95,1.88,199,190,-230,2.9,1.434782609,-2.726086957
20700004,2007-10-31 0:00,TOR,PHI,99,92.5,-6.5,6.5,1.92,2.01,191,-305,255,1.327868852,3.55,-1.163934426
20700006,2007-10-31 0:00,IND,WAS,101,102.5,1.5,-1.5,1.98,1.90,203.5,105,-125,2.05,1.8,-1.89
20700005,2007-10-31 0:00,ORL,MIL,102,95.5,-6.5,6.5,1.91,2.01,197,-295,245,1.338983051,3.45,-1.169491525
20700007,2007-10-31 0:00,NJN,CHI,94,92.5,-1.5,1.5,1.90,1.99,186,-125,105,1.8,2.05,-1.64
20700008,2007-10-31 0:00,CLE,DAL,91,93.5,2.5,-2.5,1.98,1.90,184,120,-140,2.2,1.714285714,-2.057142857
20700009,2007-10-31 0:00,MEM,SAS,97.5,104,6.5,-6.5,1.94,1.88,201,210,-250,3.1,1.4,-2.94
20700010,2007-10-31 0:00,NOH,SAC,100,90.5,-9.5,9.5,1.92,2.02,190.5,-525,425,1.19047619,5.25,-1
20700011,2007-10-31 0:00,DEN,SEA,114.5,103,-11.5,11.5,1.92,2.03,217.5,-825,625,1.121212121,7.25,-0.878787879
20700012,2007-11-01 0:00,MIA,DET,87.5,91.5,4,-4,1.96,1.89,178.5,160,-190,2.6,1.526315789,-2.442105263
20700013,2007-11-01 0:00,UTA,HOU,98,95,-3,3,1.91,2.00,193,-160,140,1.625,2.4,-1.5
20700014,2007-11-01 0:00,SEA,PHX,106.5,118.5,12,-12,1.80,1.80,224.5,575,-725,6.75,1.137931034,-6.543103448
20700015,2007-11-02 0:00,CHA,MIL,100.5,96.5,-4,4,1.91,2.00,196.5,-170,150,1.588235294,2.5,-1.470588235
20700016,2007-11-02 0:00,ORL,DET,94,90,-4,4,1.91,2.00,183.5,-170,150,1.588235294,2.5,-1.470588235
20700017,2007-11-02 0:00,IND,MIA,99.5,93,-6.5,6.5,1.91,2.01,192,-275,235,1.363636364,3.35,-1.218181818
20700018,2007-11-02 0:00,NJN,TOR,99,95,-4,4,1.91,2.00,193.5,-175,155,1.571428571,2.55,-1.457142857
20700019,2007-11-02 0:00,ATL,DAL,93,98.5,5.5,-5.5,1.94,1.88,191,210,-250,3.1,1.4,-2.94
20700020,2007-11-02 0:00,CLE,NYK,96,90,-6,6,1.91,2.01,186,-250,210,1.4,3.1,-1.24
20700021,2007-11-02 0:00,BOS,WAS,106.5,99,-7.5,7.5,1.92,2.01,205.5,-335,285,1.298507463,3.85,-1.149253731
